"time_period","ref_area","indicator","breakdown","unit_measure","value"
"2008","EU27","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","53.1023746478"
"2008","EU27","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","37.3331634524"
"2008","FI","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","35.6062533571"
"2008","FI","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","35.6062533571"
"2008","FI","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","31.3657309247"
"2008","FR","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","20.8030523256"
"2008","HU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","62.7174880634"
"2008","HU","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","50.578619406"
"2008","IE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","38.5711889988"
"2008","IS","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","84.49883449879999"
"2008","IS","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","53.6519036519"
"2008","IT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","28.4966698382"
"2008","IT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","23.6837932128"
"2008","LT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","16.6262885374"
"2008","LU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","60.9714463066"
"2008","LU","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","43.2805710739"
"2008","LV","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","33.8941321297"
"2008","LV","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","24.2100943783"
"2008","MT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","93.37738830630001"
"2008","NL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","19.4379482382"
"2008","NL","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","23.3395696913"
"2008","NO","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","37.3423904608"
"2008","PL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","67.1079242508"
"2008","PL","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","41.6507559365"
"2008","PT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","48.1694663064"
"2008","RO","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","29.304029304"
"2008","RO","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","17.094017094"
"2008","SE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","27.9016336872"
"2008","SE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","31.5567704029"
"2008","SE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","19.8875761676"
"2008","SI","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","33.8983050847"
"2008","SI","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","63.8852672751"
"2008","SI","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","18.2529335072"
"2008","SK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","40.5224787363"
"2008","SK","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","63.3657351154"
"2008","SK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","31.992709599"
"2008","UK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","21.1344999577"
"2008","UK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","33.4629582664"
"2009","AT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","26.478978979"
"2009","AT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","40.4504504505"
"2009","BE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","41.6607669617"
"2009","BE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","40.6342182891"
"2009","BG","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","20.2127659574"
"2009","BG","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","28.7234042553"
"2009","BG","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","21.170212766"
"2009","CZ","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","37.295615013"
"2009","CZ","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","39.8550724638"
"2009","DE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","19.953271028"
"2009","DK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","27.6801801802"
"2009","DK","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","37.4324324324"
"2009","DK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","23.1756756757"
"2009","EE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","26"
"2009","EL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","24.356884058"
"2009","ES","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","73.9397163121"
"2009","EU27","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","30.2515735482"
"2009","EU27","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","40.5789001448"
"2009","EU27","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","31.2690869041"
"2009","FI","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","40.0533333333"
"2009","FI","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","38.92"
"2009","FI","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","32.0533333333"
"2009","FR","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","15.5652173913"
"2009","FR","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","26"
"2009","HU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","19.6265350754"
"2009","HU","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","14.0189536253"
"2009","IE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","35.8974358974"
"2009","IE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","30.910968661"
"2009","IS","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","44.9687530045"
"2009","IS","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","31.9584655322"
"2009","IT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","25.6422018349"
"2009","IT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","36.6055045872"
"2009","LT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","16.8097281831"
"2009","LT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","14.1988555079"
"2009","LU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","38.3888888889"
"2009","LV","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","21.9139433551"
"2009","LV","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","25.8159041394"
"2009","LV","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","19.0196078431"
"2009","MT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","89.9543378995"
"2009","MT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","42.3652968037"
"2009","NL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","18.9248511905"
"2009","NL","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","58.4040178571"
"2009","NO","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","37.3034227567"
"2009","NO","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","68.408880666"
"2009","NO","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","84.38174529760001"
"2009","PL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","64.5578231293"
"2009","PL","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","40.0680272109"
"2009","PT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","25.1812015504"
"2009","PT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","52.7151162791"
"2009","RO","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","19.3965517241"
"2009","RO","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","12.9310344828"
"2009","SE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","21.9496587031"
"2009","SE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","27.2682025028"
"2009","SE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","15.2730375427"
"2009","SI","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","19.6024096386"
"2009","SI","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","57.8313253012"
"2009","SI","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","16.8674698795"
"2009","SK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","36.4166666667"
"2009","SK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","36.6204954955"
"2009","UK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","18.5185185185"
"2009","UK","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","64.8148148148"
"2009","UK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","27.7777777778"
"2011","AT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","20.4236343367"
"2011","AT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","51.1557041992"
"2011","AT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","29.2778397126"
"2011","BE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","27.8786014857"
"2011","BE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","40.3343188428"
"2011","BE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","29.863160226"
"2011","BG","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","18.42812685"
"2011","BG","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","23.3390946824"
"2011","BG","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","18.42812685"
"2011","CY","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","75.4419091832"
"2011","CY","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","42.6410791036"
"2011","CZ","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","33.7828086306"
"2011","CZ","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","26.4798028788"
"2011","CZ","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","17.0587226019"
"2011","DE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","21.0323473048"
"2011","DE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","21.4628514181"
"2011","DK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","16.0031816977"
"2011","DK","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","37.7826597477"
"2011","DK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","17.1473934068"
"2011","EE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","30.4659967594"
"2011","EE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","36.9416508495"
"2011","EL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","22.4414142806"
"2011","ES","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","43.6824561571"
"2011","ES","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","74.8663554738"
"2011","ES","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","62.3677986334"
"2011","EU27","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","30.2047366365"
"2011","EU27","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","37.7625801043"
"2011","EU27","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","27.4722854787"
"2011","FI","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","24.759444196"
"2011","FI","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","17.1687561761"
"2011","FI","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","17.1687561761"
"2011","FR","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","27.9652623926"
"2011","FR","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","27.9652623926"
"2011","HR","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","76.88716960150001"
"2011","HR","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","36.0249915299"
"2011","HU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","17.831494338"
"2011","HU","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","23.7100089549"
"2011","HU","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","28.8047216229"
"2011","IE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","34.8418970683"
"2011","IE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","73.2305740776"
"2011","IE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","27.3310689577"
"2011","IS","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","55.1378446115"
"2011","IS","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","34.1441839894"
"2011","IS","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","30.0751879699"
"2011","IT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","27.7361158149"
"2011","IT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","38.4902779794"
"2011","IT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","28.813951113"
"2011","LT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","16.4193598326"
"2011","LT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","11.2589895995"
"2011","LT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","30.493096832"
"2011","LU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","29.0386321702"
"2011","LU","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","35.8580121101"
